name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
openapi-generator,https://github.com/OpenAPITools/openapi-generator,Java,115,0,1896,5,33.4,7,639,1124,1.6,756,0.76296
sbt,https://github.com/sbt/sbt,Scala,140,0,292,5,12.7,18,351,450,2.2,13209,0.76179
spring-security,https://github.com/spring-projects/spring-security,Java,204,0,500,7,15.6,42,354,464,1.6,1943,0.75737
hbase,https://github.com/apache/hbase,Java,167,0,528,6,21.4,2,362,456,7.6,890,0.75501
robolectric,https://github.com/robolectric/robolectric,Java,128,0,718,9,8.3,10,217,308,1.0,5688,0.75433
neo4j,https://github.com/neo4j/neo4j,Java,165,0,286,6,52.6,23,72,103,2.1,3721,0.75113
hazelcast,https://github.com/hazelcast/hazelcast,Java,146,0,288,6,15.0,12,363,589,1.3,11449,0.75036
presto,https://github.com/prestodb/presto,Java,102,0,534,5,32.8,34,351,551,1.3,1951,0.74922
opennms,https://github.com/OpenNMS/opennms,Java,227,0,198,8,21.6,15,139,146,1.2,14096,0.74761
jackson-databind,https://github.com/FasterXML/jackson-databind,Java,110,0,229,8,15.6,17,197,317,2.2,4045,0.74758
jetty.project,https://github.com/eclipse/jetty.project,Java,143,0,163,5,30.5,11,538,723,1.6,9992,0.74413
okhttp,https://github.com/square/okhttp,Java,117,0,267,6,6.8,11,269,310,1.7,17153,0.74156
azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,Java,112,0,385,3,64.4,787,2680,3207,1.4,629,0.74153
pulsar,https://github.com/apache/pulsar,Java,55,0,344,8,30.3,6,866,1279,2.2,1807,0.74132
jabref,https://github.com/JabRef/jabref,Java,209,0,387,6,26.0,2,348,495,2.5,4411,0.74046
expo,https://github.com/expo/expo,Java,53,0,636,5,57.0,1,1129,1554,2.3,2593,0.73657
rstudio,https://github.com/rstudio/rstudio,Java,122,0,107,2,101.6,296,736,1166,2.0,5830,0.73504
orientdb,https://github.com/orientechnologies/orientdb,Java,131,0,180,7,21.3,16,60,122,1.8,6069,0.72822
zeppelin,https://github.com/apache/zeppelin,Java,91,0,430,8,8.8,6,86,95,2.1,6344,0.72727
Anki-Android,https://github.com/ankidroid/Anki-Android,Java,141,0,243,4,52.8,223,776,997,1.9,499,0.72543
cassandra,https://github.com/apache/cassandra,Java,144,0,449,3,11.1,22,73,142,0.7,31934,0.72533
platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,Java,148,0,4132,3,254.1,81,2,2,0.0,2264,0.72258
calcite,https://github.com/apache/calcite,Java,106,1,316,8,12.8,10,152,325,0.8,13131,0.72169
che,https://github.com/eclipse/che,Java,70,0,185,3,11.0,11,749,1280,2.5,12887,0.7216
cucumber,https://github.com/cucumber/cucumber,Java,67,0,122,7,31.3,22,87,130,1.8,6948,0.72051
hive,https://github.com/apache/hive,Java,150,0,406,4,21.5,5,305,424,1.1,7444,0.72027
jOOQ,https://github.com/jOOQ/jOOQ,Java,118,0,94,6,25.6,10,452,872,1.4,6286,0.72016
geoserver,https://github.com/geoserver/geoserver,Java,116,0,339,7,10.0,15,155,173,0.7,5829,0.71868
cucumber-jvm,https://github.com/cucumber/cucumber-jvm,Java,145,0,297,10,10.9,11,65,80,2.2,1472,0.71864
fenix,https://github.com/mozilla-mobile/fenix,Kotlin,34,0,202,3,55.9,127,2012,3368,2.0,1373,0.71446
Mindustry,https://github.com/Anuken/Mindustry,Java,44,0,314,1,73.9,37,1394,1466,3.0,1956,0.71371
tomcat,https://github.com/apache/tomcat,Java,179,0,90,6,21.2,17,30,35,2.3,14949,0.71359
openj9,https://github.com/eclipse/openj9,Java,40,0,195,4,37.9,7,837,1202,4.1,1516,0.71126
metasfresh,https://github.com/metasfresh/metasfresh,Java,63,0,56,5,53.0,28,460,679,0.1,41240,0.71037
dbeaver,https://github.com/dbeaver/dbeaver,Java,100,0,188,3,52.2,24,1013,1556,1.6,780,0.7097
libgdx,https://github.com/libgdx/libgdx,Java,131,0,628,3,8.2,2,201,251,2.2,9404,0.70933
RxJava,https://github.com/ReactiveX/RxJava,Java,107,0,304,9,3.1,19,55,58,1.8,3371,0.70865
javaparser,https://github.com/javaparser/javaparser,Java,111,0,191,8,12.3,19,268,362,1.7,718,0.70576
open-liberty,https://github.com/OpenLiberty/open-liberty,Java,40,0,301,2,77.1,12,1318,1793,4.7,366,0.70384
http4s,https://github.com/http4s/http4s,Scala,107,0,325,8,22.8,17,320,413,1.6,179,0.70322
sakai,https://github.com/sakaiproject/sakai,Java,189,0,292,8,21.4,3,387,403,0.6,2480,0.70276
zio,https://github.com/zio/zio,Scala,32,0,360,10,22.6,14,259,358,1.3,810,0.70275
groovy,https://github.com/apache/groovy,Java,211,0,385,7,26.5,12,83,89,1.0,1016,0.70167
flyway,https://github.com/flyway/flyway,Java,130,0,157,7,5.9,36,223,258,1.4,2132,0.70158
zeebe,https://github.com/zeebe-io/zeebe,Java,59,0,62,5,29.3,38,981,1201,2.1,2028,0.70083
shardingsphere,https://github.com/apache/shardingsphere,Java,60,0,260,6,68.1,7,1197,1310,1.4,365,0.7008
infinispan,https://github.com/infinispan/infinispan,Java,143,0,202,5,21.9,29,270,285,2.2,440,0.70076
DSpace,https://github.com/DSpace/DSpace,Java,227,0,224,9,26.1,6,135,221,1.2,1015,0.7
openmrs-core,https://github.com/openmrs/openmrs-core,Java,178,0,432,7,9.1,10,118,279,0.6,2255,0.69987
graal,https://github.com/oracle/graal,Java,118,0,259,2,120.4,1,270,477,2.4,3798,0.69987
core,https://github.com/dotCMS/core,Java,107,0,112,5,15.3,21,325,577,0.9,4967,0.69979
guava,https://github.com/google/guava,Java,140,0,406,3,4.8,4,113,165,1.5,25287,0.69899
spotless,https://github.com/diffplug/spotless,Java,82,0,129,8,19.0,38,44,71,2.9,1057,0.69895
playframework,https://github.com/playframework/playframework,Scala,113,0,907,6,7.9,10,145,207,1.4,478,0.69893
dubbo,https://github.com/apache/dubbo,Java,112,0,359,5,6.3,6,135,394,1.2,5557,0.69836
